temperature,wind_speed,mean_sea_level_pressure,total_cloud_cover,month
20.032249103942654,3.866076388888889,101270.63531137993,0.5105040322580645,1
19.77510447394297,3.6641396263520156,101461.28653392331,0.5197320550639135,2
18.32661850358423,3.613475582437276,101671.81644041218,0.5483658154121864,3
15.310387731481482,3.504565972222222,101889.70789351853,0.6061631944444444,4
12.40453853046595,4.048919130824372,101905.22097782258,0.6210797491039427,5
10.028854942557757,3.660491099608635,101705.53110718343,0.6278841055422295,6
9.814540566959922,4.377994868035191,101691.64522482893,0.6261485826001955,7
10.198365102639295,4.4015957966764425,101636.77186705767,0.6165664711632453,8
12.04517803030303,4.195756313131313,101676.67839141414,0.6044128787878787,9
14.301953812316716,4.033543499511241,101684.13189516128,0.5920112414467253,10
16.41370202020202,3.8024015151515154,101458.41818308081,0.6241363636363636,11
18.208958944281523,3.7855791788856306,101288.72666300098,0.560791788856305,12
