temperature,wind_speed,mean_sea_level_pressure,total_cloud_cover,year
14.509204337899543,3.699724885844749,101609.82659246576,0.5779805936073059,2010
14.475827625570776,3.7126084474885848,101629.56731278538,0.587439497716895,2011
14.53790072859745,3.9879963570127503,101581.29411429873,0.5871254553734062,2012
14.93394406392694,4.0858698630136985,101596.02671347032,0.5716883561643835,2013
15.115320776255707,3.8283961187214612,101635.55848744292,0.571066210045662,2014
14.678916666666666,3.8401997716894978,101625.98360844748,0.5693150684931506,2015
14.922311020036428,4.150667122040073,101478.16120446265,0.6377732240437158,2016
14.884688356164384,3.759429223744292,101610.47976369863,0.5640239726027397,2017
14.96981392694064,3.9892762557077623,101633.06529908675,0.5676723744292238,2018
14.864259132420091,4.003399543378995,101639.64273858447,0.5665627853881279,2019
14.352813069216758,4.032956511839708,101668.89839936247,0.6455601092896175,2020
16.20904827586207,3.7064827586206897,101700.76267034483,0.6232303448275862,2021
